NUM,NAME,SCORE,ABV,DES,TASTE,IMG
21,ABSOLUT RASPBERRI,3.08,40,"First released in 2004, this vodka is made using Absolut's standard winter-wheat-based vodka with natural raspberry flavor. No sugar added. Bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/68918180-8d26-0135-3ee6-6a90f722b6ad/absolut_raspberri_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
22,KETEL ONE CITROEN,3.83,40,"Introduced in 2000, this citrus-flavored vodka is made with the oils of four types of lemons and two types of limes which are added to their winter wheat-based vodka. Two types of lemons from Sicily, one from Spain, one from Guinea, West Africa are used along with two types of limes from the Caribbean.",none,"https://ip-distiller.imgix.net/images/spirits/132feb40-8307-0135-909f-1a05d89bc99e/ketel_one_citroen_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
23,SMIRNOFF KISSED CARAMEL,2.75,30,"Released in 2012, Kissed Caramel is part of Smirnoff's Confections flavored vodka line. It uses the classic grain-based No. 21 vodka as its base. Bottled at 30% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/8ea78040-944f-0135-6e28-4ebc2b91c234/smirnoff_kissed_caramel_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
24,SMIRNOFF GREEN APPLE,2.9,35,This flavored vodka uses the classic grain-based No. 21 vodka as its base. It is infused with natural green apple flavors. Bottled at 35% ABV,none,"https://ip-distiller.imgix.net/images/spirits/372d4b40-944b-0135-3a51-46a569c91afa/smirnoff_green_apple_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
25,ABSOLUT KURANT,3.25,40,"First released in 1992, the third flavor for Absolut after Peppar and Citron. This vodka is made using Absolut's standard winter-wheat-based vodka with natural black currant flavor. No sugar added, it is bottled at 40% ABV. It was originally going to be called ""Vinbär"", the Swedish name for black currant.",none,"https://ip-distiller.imgix.net/images/spirits/a0e007f0-8d27-0135-3e9b-7239d2a0be31/absolut_kurant_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
26,NEMIROFF HONEY PEPPER VODKA,3.31,40,"This Ukrainian vodka is grain-based and flavored with honey, herbs, and red chilies. Bottled at 40% ABV.","{""grain"":35,""earthy"":25,""spicy"":75,""herbal"":0,""oily"":0,""chemical"":0,""rich"":30,""sweet"":35,""mineral"":0,""neutral"":0,""harsh"":0,""bitter"":0,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/526b9de0-8d0d-0135-16c0-2eb38be70a71/nemiroff_honey_pepper_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
27,SVEDKA BLUE RASPBERRY,3.05,35,"Launched in 2017, this flavored vodka uses Svedka's standard vodka as its base which is column-distilled from Swedish winter wheat. Natural berry and lemon flavors are added to create this sweet and sour vodka. Bottled at 35% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/882a45d0-99c7-0135-188c-760d491ef1bf/svedka_blue_raspberry_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
28,CÎROC COCONUT,3.45,35,"First released in 2010, this is the first flavor extension for CÎROC. Taking their grape-based flagship vodka, they add coconut and other tropical flavors. Bottled at 35% or 37.5% ABV depending on your location.",none,"https://ip-distiller.imgix.net/images/spirits/55cb7570-91de-0135-8f17-12bc6d206d07/ciroc_coconut_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
29,CÎROC MANGO,3.5,35,"Launched in 2016, this flavored vodka uses CÎROC's standard grape-based vodka and adds mango and other natural flavors. Bottled at 35% or 37.5% ABV depending on your location.",none,"https://ip-distiller.imgix.net/images/spirits/9bca4eb0-91d3-0135-737a-32915ebc5a24/ciroc_mango_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
30,DEEP EDDY SWEET TEA,3.45,35,Deep Eddy Sweet Tea begins by using the brand's Original corn-based vodka as its base. It's made with Indonesian whole black tea leaves and is sweetened using organic honey from the Texas Hill Country.,none,"https://ip-distiller.imgix.net/images/spirits/a7a3a5c0-9047-0137-a238-5a38c32ee23d/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
