,순서,상품명,별점,도수,설명,맛과향,이미지
20,21,HAKU VODKA,4.25,40.0,"Haku Vodka is made from 100% Japanese white rice which is milled and polished. The white rice is fermented with koji rice to create a mash that is then distilled in a pot still. For the second distillation, it goes through two different processes in a pot and column still. The vodka is blended then filtered through bamboo charcoal and is proofed to 40% ABV. The curved lines on the bottle are meant to represent the streams glistening through nature in Japan as they run through the four seasons. Haku Vodka was exclusive released to the US in October 2018.","{""grain"":30,""earthy"":0,""spicy"":45,""herbal"":25,""oily"":0,""chemical"":0,""rich"":50,""sweet"":40,""mineral"":15,""neutral"":85,""harsh"":5,""bitter"":0,""fruity"":25,""floral"":55}","https://ip-distiller.imgix.net/images/spirits/15688ed0-a94a-0136-f463-5a2c626cd529/haku_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
21,22,RUSSIAN STANDARD PLATINUM,4.34,40.0,"One of the Russian Standard bottlings, this vodka is distilled from 100% Russian winter wheat. It is distilled in St. Petersburg and filtered through a ""silver filtration system"". Bottled at 40% ABV.","{""grain"":60,""earthy"":15,""spicy"":25,""herbal"":10,""oily"":30,""chemical"":0,""rich"":40,""sweet"":35,""mineral"":15,""neutral"":60,""harsh"":10,""bitter"":30,""fruity"":10,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/2a07da10-82ec-0135-2aaf-7ee8aa06b987/russian_standard_platinum_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
22,23,OCEAN ORGANIC VODKA,4.03,40.0,"This vodka is produced from 100% organically-grown sugarcane and mineral rich ocean water sourced 3,000 feet deep, off the Kona Coast in Hawaii. Distilled using a continuous column process on the island of Maui.",none,"https://ip-distiller.imgix.net/images/spirits/0ac5af80-b5e0-0135-03b9-3216d1100303/ocean_organic_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
23,24,KOSKENKORVA VODKA,3.94,40.0,"Koskenkorva Vodka has been around since 1953, but it only launched in the US in 2017. It is a vodka made via continuous distillation from Finnish barley sourced within 120 miles from the distillery. Local spring water is used in its production. Named after the village where it is made.","{""grain"":65,""earthy"":15,""spicy"":35,""herbal"":15,""oily"":20,""chemical"":0,""rich"":45,""sweet"":35,""mineral"":10,""neutral"":85,""harsh"":10,""bitter"":10,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/93b01340-83be-0135-7ba3-5649f137d059/koskenkorva_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
24,25,DEEP EDDY VODKA,3.16,40.0,"Deep Eddy Vodka is a corn-based vodka. It is column-distilled and charcoal filtered before Texas water is added to bring the vodka to proof. It first hit the market in 2011, a year after the brand's Sweet Tea version. Deep Eddy Distillery is located in Buda, Texas just outside Austin where the brand's headquarters and Deep Eddy Pool is located. This freshwater swimming pool is the oldest pool in Texas and is the inspiration for the vodka's namesake.","{""grain"":30,""earthy"":15,""spicy"":45,""herbal"":10,""oily"":40,""chemical"":10,""rich"":50,""sweet"":30,""mineral"":0,""neutral"":60,""harsh"":35,""bitter"":30,""fruity"":0,""floral"":0}","https://ip-distiller.imgix.net/images/spirits/fe48d0f0-773c-0135-424a-72f5d37c75b1/deep_eddy_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
25,26,PINNACLE VODKA,2.93,40.0,"This vodka is distilled in France from wheat grain found in the northern France. This brand is more known for the dozens of flavors it sells. Filtered spring water is used to bring the vodka to proof. Bottled in Frankfort, Kentucky.",none,"https://ip-distiller.imgix.net/images/spirits/f28ce930-8a1d-0135-94d6-268180a7f213/pinnacle_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
26,27,HANGAR 1 STRAIGHT VODKA,4.21,40.0,"This vodka from Hangar 1 is distilled from Midwestern grains and wine grapes. The distillery is located in a hangar on the grounds of the now-closed Alameda Naval Air Station. Hangar 1 distills a myriad of flavored vodkas, some only seasonally.",none,"https://ip-distiller.imgix.net/images/spirits/b5de9030-8d10-0135-c330-2a6c85e607e8/hangar_1_vodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
27,28,KIRKLAND FRENCH VODKA,3.88,40.0,none,none,"https://ip-distiller.imgix.net/images/spirits/180ab560-1443-0137-0ec5-4af49495d734/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
28,29,ABSOLUT ELYX,4.0,40.0,"Elyx is made from 100% single-estate winter wheat sourced from the Råbelöf Castle near Åhus where Absolut is made. It is distilled in a single column-still made entirely of copper. First launched in select markets in 2011, was released in the US in 2013. ""Lyx"" is the Swedish word for ""luxury"".",none,"https://ip-distiller.imgix.net/images/spirits/0c57b2f0-6822-0135-a991-2a7e59f1f483/absolut_elyx_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
29,30,WYBOROWA WÓDKA,3.96,37.5,"Wyborowa Wódka, pronounced ""vee-bo-rova"" was founded in 1927 and translates to ""excellent."" Wyborowa, commonly referred to as Wybo, is a Polish vodka, which must be made from cereals or potatoes grown in Poland, contain no additives other than water, and be produced in Poland. Wybo is produced from pure rye grain and water from the Wyborowa well and bottled at 37.5% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/fd141bd0-e4ed-0134-e157-36b427100ac9/wyborowa_wodka_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
